id,predictions,band_gap
6141eb094e27a1844a5f03dc,1.1401048,1.1388
6141d6544e27a1844a5f01ea,1.1402617,1.1381
61421dc931cf3ef3d4a9f318,0.39139003,0.3966
6141d0dabaaf234b35290260,1.0873533,1.0837
6143483831cf3ef3d4a9f722,0.3548802,0.3565999999999999
6142db3c4e27a1844a5f0954,1.1410657,1.1474
614209959cbada84a8676c3b,1.8019834,1.8095
6141d1104e27a1844a5f00fc,1.1428,1.1465
61425bce31cf3ef3d4a9f4a6,0.3398959,0.3530999999999999
6141cf4d31cf3ef3d4a9ed86,0.3888753,0.4165
6141d30c4e27a1844a5f0168,1.1431448,1.1455
614274c03ac25c70a5c6cbd7,0.28629062,0.2851
6141cf1731cf3ef3d4a9ed44,0.34905335,0.3524
6141ee3b9cbada84a8676b4b,1.8029829,1.8091
6141fb9fbaaf234b3529054c,1.1096523,1.1093
61420bd99cbada84a8676c4f,1.8017544,1.81
6141ec563ac25c70a5c6c9db,0.29348147,0.2906
6142031d9cbada84a8676c0b,1.8009548,1.8084
61421e623ac25c70a5c6cacd,0.4036402,0.4251
614216593ac25c70a5c6cab1,0.4007849,0.4232
6141d5963ac25c70a5c6c8fd,0.41167742,0.415
6142e0c84e27a1844a5f0962,1.1443285,1.1435
6141d0a99cbada84a86768a1,1.8024563,1.8095
6141d5679cbada84a867697f,1.8009369,1.8089
61420d8e31cf3ef3d4a9f292,0.3590307,0.3562
6141e6de9cbada84a8676af7,1.7986939,1.8086
6143106131cf3ef3d4a9f6ca,0.36857054,0.4
61420f8731cf3ef3d4a9f2a6,0.39717802,0.4014
6141d0284e27a1844a5f00b2,1.1394552,1.146
6142fc9eee0a3fd43fb47f93,0.34677127,0.3587
61425380baaf234b352906b6,0.6543621,0.65
6141d342baaf234b352902d8,1.1031287,1.1042
6141d18631cf3ef3d4a9ee58,0.34842804,0.3531999999999999
6141ec14ee0a3fd43fb47d4d,0.2693227,0.2754
6141fb214e27a1844a5f04ce,1.1462275,1.1442
6141ebce31cf3ef3d4a9f0fc,0.35164776,0.3541999999999999
614201c0baaf234b35290580,1.1063797,1.1102
6141cf16a05be5973bd77a67,1.1297983,1.1384
6141cf17b842c2e72e2f2d54,1.7975951,1.8082
6142b6824e27a1844a5f08f8,1.1449864,1.146
614210529cbada84a8676c69,1.8005972,1.8096
6141ec1b3ac25c70a5c6c9d9,0.3492528,0.3529
61433f7e31cf3ef3d4a9f716,0.41724372,0.4196
6141f2de3ac25c70a5c6ca09,0.38811722,0.4109
6142d8693ac25c70a5c6cc59,0.41510186,0.4132
61423aae3ac25c70a5c6cb3b,0.36843565,0.3541999999999999
6141f45c9cbada84a8676b8f,1.8022887,1.8098
6141ffc34e27a1844a5f050a,1.1398635,1.1384
61421e50ee0a3fd43fb47eaf,0.34354383,0.3510999999999999
6141cf21ee0a3fd43fb479f3,0.42157325,0.4346
6141f580baaf234b3529051e,0.97239894,0.9627
6142f1ee3ac25c70a5c6cc7d,0.41154832,0.4258
614207a231cf3ef3d4a9f24e,0.2959626,0.285
6141d4ccbaaf234b3529030e,0.9660932,0.9602
6142913d3ac25c70a5c6cbff,0.4077281,0.4006999999999999
6141fbce4e27a1844a5f04d8,1.1442081,1.148
6141cfacee0a3fd43fb47a59,0.3505349,0.3584
61421ab73ac25c70a5c6cabf,0.36759996,0.3497
6141d8439cbada84a86769db,1.8017601,1.8101
6141fec54e27a1844a5f04fc,1.147301,1.1469
6141cf16b842c2e72e2f2d52,1.7985736,1.8098
614220f331cf3ef3d4a9f336,0.4093608,0.4241
6141cf91ee0a3fd43fb47a4b,0.3507538,0.3555999999999999
614209f84e27a1844a5f056e,1.1440264,1.1451
6141d97d31cf3ef3d4a9ef92,0.27216318,0.2694999999999999
6141d7e431cf3ef3d4a9ef64,0.29004222,0.3022
61434d8e3ac25c70a5c6ccdd,0.40933955,0.4079
6141d565ee0a3fd43fb47b91,0.41914204,0.4295
6141e98b31cf3ef3d4a9f0da,0.32733566,0.339
6141cffeee0a3fd43fb47a79,0.4216635,0.4292999999999999
6141d5fdee0a3fd43fb47ba3,0.3551881,0.3605
61439d894e27a1844a5f0a5e,1.1455377,1.149
61425bde9cbada84a8676d29,1.8010873,1.808
6141d9a3ee0a3fd43fb47c05,0.3418232,0.3501999999999999
6141d994ee0a3fd43fb47c03,0.34722647,0.357
6142100b3ac25c70a5c6ca9d,0.37970677,0.3659
61420c4a4e27a1844a5f0586,1.1452223,1.145
6141d3e94e27a1844a5f0190,1.149604,1.1479
6141d0634e27a1844a5f00c8,1.1454152,1.1445
61426f734e27a1844a5f07ee,1.1372478,1.1311
6144390e3ac25c70a5c6cd6f,0.3601295,0.3473
61421eb531cf3ef3d4a9f322,0.3904515,0.3988
61435e6c31cf3ef3d4a9f748,0.34475198,0.3584999999999999
614248c4baaf234b352906a2,1.0976985,1.0934
614232ae31cf3ef3d4a9f3b6,0.38699666,0.3993
6141d069ee0a3fd43fb47a9f,0.41767776,0.4153
6141debd4e27a1844a5f02e4,1.1454152,1.1454
6141d261baaf234b352902b0,1.1083919,1.1075
6141ea024e27a1844a5f03cc,1.144385,1.1443
61435ee24e27a1844a5f0a2e,1.1465554,1.1478
614203364e27a1844a5f052c,1.1415013,1.1469
6141f89cee0a3fd43fb47dd5,0.3447685,0.3500999999999999
6142e07b31cf3ef3d4a9f662,0.390214,0.3944999999999999
614202494e27a1844a5f0520,1.1447614,1.1419
6141d398ee0a3fd43fb47b4b,0.3992903,0.3823
61438b5e3ac25c70a5c6cd11,0.412729,0.4261
61421e5f4e27a1844a5f061c,1.1476971,1.1455
6141cf2eb842c2e72e2f2d62,1.8014497,1.8106
6144378f3ac25c70a5c6cd6d,0.40729347,0.415
6143641131cf3ef3d4a9f74c,0.28555608,0.2923
6141cf629cbada84a867681b,1.7978045,1.8062
6141e88b31cf3ef3d4a9f0ca,0.3480788,0.3522
614207c93ac25c70a5c6ca79,0.41179657,0.4260999999999999
614235359cbada84a8676ccf,1.8044719,1.8082
614288a79cbada84a8676d5f,1.8040518,1.809
6142031a31cf3ef3d4a9f21c,0.40798992,0.4201
61423f724e27a1844a5f0702,1.14714,1.1459
6141cf95ee0a3fd43fb47a4d,0.43815753,0.4293
61420420ee0a3fd43fb47e29,0.3889189,0.3766
6141fe849cbada84a8676bdf,1.8010157,1.8096
6144d1a34e27a1844a5f0ad6,1.1493759,1.1485
6141d3cfbaaf234b352902ec,0.9522603,0.9417
6141d1063ac25c70a5c6c8a1,0.4036112,0.4174
6141e58031cf3ef3d4a9f094,0.35355505,0.3583
61420e0331cf3ef3d4a9f296,0.30111736,0.3177
6141e04531cf3ef3d4a9f036,0.2853413,0.291
6141d671ee0a3fd43fb47bb3,0.352386,0.3591
6141da5d4e27a1844a5f026a,1.1433758,1.146
6143ecd631cf3ef3d4a9f7ac,0.41459823,0.4215
6141dbd23ac25c70a5c6c94d,0.39508173,0.3978
614594a74e27a1844a5f0aee,1.1464236,1.1474
6141fef59cbada84a8676be5,1.8044535,1.806
6141d7fa4e27a1844a5f0220,1.1468246,1.1465999999999998
614224a84e27a1844a5f0650,1.1469892,1.1393
614335d231cf3ef3d4a9f708,0.39918914,0.3996
6141fafa9cbada84a8676bc3,1.8012779,1.8087
6141e1abbaaf234b3529041e,1.1073151,1.1048
6141cf12cc0e69a0cf28ab39,1.1406606,1.1477
6141f70eee0a3fd43fb47dc3,0.34758374,0.3564
6141cff99cbada84a8676867,1.8052971,1.8088
614415593ac25c70a5c6cd5d,0.40564802,0.4286
6142a863baaf234b3529071c,1.1098894,1.1109
6142f4aa31cf3ef3d4a9f69a,0.36097166,0.3983
614238f34e27a1844a5f06d4,1.1422429,1.1482
6142829f4e27a1844a5f0836,1.1424563,1.147
614218b9ee0a3fd43fb47e8b,0.35101065,0.3576
6141d0b9baaf234b35290258,1.0839118,1.0843
6141d86131cf3ef3d4a9ef72,0.4115316,0.4202
6141d5cfee0a3fd43fb47b9d,0.3970025,0.3764
6141d6ccee0a3fd43fb47bbd,0.35484305,0.359
6141cf849cbada84a8676831,1.8014385,1.809
6141dece4e27a1844a5f02e6,1.1450046,1.1451
614227584e27a1844a5f0662,1.1450225,1.1487
6141d2094e27a1844a5f0138,1.143997,1.1438
6141fbaf4e27a1844a5f04d6,1.145052,1.1444
6141cf3bcc0e69a0cf28ab5b,1.1453848,1.143
6142042231cf3ef3d4a9f224,0.4133461,0.4175999999999999
6141feeaee0a3fd43fb47e0d,0.34902883,0.3588
6141ea1331cf3ef3d4a9f0e2,0.38809907,0.3691
61425a159cbada84a8676d25,1.8033761,1.8086
6141d7274e27a1844a5f0206,1.1463782,1.1469
6141de7c9cbada84a8676a6b,1.8003287,1.8081
6141cf34baaf234b352901b6,1.0961709,1.0941
6141d2954e27a1844a5f0152,1.1434277,1.1458
6141e698ee0a3fd43fb47cf7,0.4249061,0.4321
614221b131cf3ef3d4a9f33e,0.3483939,0.3578
6141efd09cbada84a8676b61,1.8027322,1.8094
6141d5593ac25c70a5c6c8f9,0.39887896,0.4195
6142090aee0a3fd43fb47e43,0.42325824,0.4322
6141d0fb4e27a1844a5f00f6,1.1391857,1.1438
6141e96dee0a3fd43fb47d27,0.35268757,0.3604
6141cf1f31cf3ef3d4a9ed54,0.39441565,0.4079999999999999
61420e2b9cbada84a8676c5b,1.8032689,1.8104
6142a58d31cf3ef3d4a9f5c2,0.4031342,0.4247
614331c93ac25c70a5c6ccbf,0.4153625,0.4262999999999999
6141da119cbada84a8676a07,1.8021895,1.8088
6141eb43ee0a3fd43fb47d43,0.3520821,0.3609
6142343ebaaf234b35290668,1.0953525,1.095
614236feee0a3fd43fb47ef9,0.44029447,0.4319
6142084e31cf3ef3d4a9f256,0.28677362,0.2925999999999999
6141e0ac9cbada84a8676a91,1.8003153,1.8079
61421e01ee0a3fd43fb47eab,0.42562333,0.423
6142582dee0a3fd43fb47f3d,0.35338935,0.3558
6141d809baaf234b3529036e,1.1047478,1.1062
6141f40331cf3ef3d4a9f170,0.35020378,0.3511
6141d2259cbada84a86768f9,1.8002719,1.809
6142013731cf3ef3d4a9f20a,0.4021365,0.4085
614226133ac25c70a5c6caf1,0.40043315,0.4117999999999999
6141e726baaf234b35290474,1.1146034,1.1176
6141f1c9baaf234b35290500,1.1049429,1.0983
6141f27a4e27a1844a5f0452,1.1474656,1.1467
6141dcf8ee0a3fd43fb47c5f,0.34866902,0.3544
6141d383ee0a3fd43fb47b47,0.3537342,0.3587
6143bc5931cf3ef3d4a9f792,0.38706407,0.3925
6141dc1631cf3ef3d4a9efda,0.3561064,0.3555
6141d33b9cbada84a867692d,1.8033704,1.8084
614214a0baaf234b352905dc,1.1088891,1.1097
614491ce4e27a1844a5f0aca,1.1380669,1.1359
6141eb719cbada84a8676b2f,1.8018061,1.8062
61421652baaf234b352905e8,1.1073118,1.1108
614202a44e27a1844a5f0524,1.1444838,1.15
61423ba831cf3ef3d4a9f3f4,0.3942979,0.3993
6141cf6f31cf3ef3d4a9ed9c,0.3551432,0.3562
6141d43f31cf3ef3d4a9eee2,0.2883027,0.3006
614221754e27a1844a5f0636,1.144988,1.1455
6141f5c0ee0a3fd43fb47db9,0.35150787,0.3542999999999999
6141da4031cf3ef3d4a9efa6,0.41588074,0.4238
6141d31e9cbada84a8676927,1.7972561,1.8065
614261d49cbada84a8676d3b,1.7940665,1.8069
614333ae3ac25c70a5c6ccc3,0.28524956,0.3018999999999999
6141cf72cc0e69a0cf28ab65,1.1424456,1.1379
6141cf13cc0e69a0cf28ab3d,1.1379857,1.1432
6141e0ec9cbada84a8676a97,1.7944783,1.8077
6141dbf14e27a1844a5f0294,1.1383162,1.1384
6141f98831cf3ef3d4a9f1b4,0.40298745,0.4168999999999999
614260ebbaaf234b352906ce,1.1197443,1.1179
6141cf3dee0a3fd43fb47a13,0.43071154,0.4285
6141ec6d31cf3ef3d4a9f104,0.40873137,0.4135
6141cf1cee0a3fd43fb479eb,0.3911436,0.4153999999999999
6141e1014e27a1844a5f0318,1.1386925,1.1377
6141d819baaf234b35290370,1.104879,1.1002
6141d82f4e27a1844a5f0226,1.1453557,1.1477
614326714e27a1844a5f09e6,1.143879,1.1462
6141d2124e27a1844a5f013a,1.1449538,1.1438
6141d14631cf3ef3d4a9ee48,0.39348212,0.415
6141ff1d31cf3ef3d4a9f1f2,0.38866416,0.3957
6141cf1c31cf3ef3d4a9ed4e,0.41180798,0.4186999999999999
614289edbaaf234b352906fe,1.099707,1.1081
6143a6b04e27a1844a5f0a64,1.1440538,1.1452
61424b8a4e27a1844a5f0744,1.1462989,1.1462
61422ec33ac25c70a5c6cb13,0.388304,0.4039
614402124e27a1844a5f0a8e,1.1420077,1.1459
6141d656ee0a3fd43fb47baf,0.35090056,0.3558
61422a5d31cf3ef3d4a9f380,0.40138057,0.4019
6141dfc94e27a1844a5f02fe,1.1466435,1.1449
6142e70c4e27a1844a5f096e,1.1493213,1.1486
6141ef9f31cf3ef3d4a9f12c,0.41064227,0.412
614207099cbada84a8676c29,1.8004994,1.8091
6141cf16ee0a3fd43fb479dd,0.36411428,0.3503
6141d9954e27a1844a5f0250,1.1425077,1.1461
6141dae13ac25c70a5c6c945,0.35062972,0.3707
6141cf714e27a1844a5f005a,1.141929,1.1464
6141d0f9baaf234b35290268,1.1207451,1.1184
6141cf2e31cf3ef3d4a9ed68,0.38600352,0.3926
614350543ac25c70a5c6cce3,0.3918515,0.4013
61422577baaf234b35290632,1.093167,1.0919
6141f5944e27a1844a5f0480,1.1468805,1.1477
6141cf1969b0784ffcf8f85f,0.35064515,0.3579
6141d20031cf3ef3d4a9ee76,0.39713153,0.3961999999999999
6141d0aabaaf234b35290254,1.1079509,1.1046
6141d0719cbada84a867688f,1.8008658,1.8093
6141cf60ee0a3fd43fb47a2f,0.27136865,0.2663
614230454e27a1844a5f06a4,1.1439182,1.1441
6141cf1b02d926221cabc553,0.38149056,0.3929
61425cdbbaaf234b352906c6,0.9406432,0.9416
6145b8f24e27a1844a5f0af6,1.1518583,1.1485
6141d5e8baaf234b35290332,1.0962592,1.0966
6141ffc4baaf234b3529056e,0.94064313,0.9433
61422efc31cf3ef3d4a9f39c,0.38842294,0.383
614208469cbada84a8676c33,1.8008844,1.8076
614282583ac25c70a5c6cbe7,0.408946,0.4295
6141d3143ac25c70a5c6c8d1,0.28165042,0.2949
6141d44a31cf3ef3d4a9eee4,0.40909848,0.4174
6142531e4e27a1844a5f0778,1.1404132,1.1483
6141d23431cf3ef3d4a9ee80,0.38464996,0.3924
6141d65931cf3ef3d4a9ef32,0.41231158,0.4207000000000001
6141cf7a4e27a1844a5f0060,1.1460247,1.145
6142e4d34e27a1844a5f0966,1.1433562,1.1471
614205c54e27a1844a5f0542,1.1395116,1.1365
614277b74e27a1844a5f080a,1.142738,1.1498
6141eb834e27a1844a5f03e2,1.1817092,1.1819
6141fc203ac25c70a5c6ca41,0.4081922,0.416
6141e19d31cf3ef3d4a9f054,0.40520266,0.4207
6141e1154e27a1844a5f031a,1.1415045,1.1438
6142080aee0a3fd43fb47e3d,0.34123653,0.3515999999999999
6141ecb0ee0a3fd43fb47d55,0.34930396,0.359
6141ecddbaaf234b352904c6,1.1004297,1.0928
6143f2ab31cf3ef3d4a9f7b0,0.30055812,0.3146
6141dc6dee0a3fd43fb47c51,0.346633,0.3494
61422bd6ee0a3fd43fb47ed9,0.3507817,0.3586999999999999
6141e0f231cf3ef3d4a9f046,0.38913935,0.3815999999999999
614241539cbada84a8676ced,1.8062044,1.8086
6142610c9cbada84a8676d39,1.8034096,1.8082
61424d094e27a1844a5f0750,1.1415302,1.1396
6141fe64baaf234b35290562,1.0845989,1.0818
6141d19bbaaf234b3529028a,1.0957699,1.0958
6141f49bee0a3fd43fb47dad,0.3495872,0.3567
6142339b4e27a1844a5f06b4,1.1445553,1.1474
61428d659cbada84a8676d63,1.8025144,1.8073
6141cf2ccc0e69a0cf28ab57,1.147915,1.1465
6141f3649cbada84a8676b81,1.8006171,1.8083
6141d22b31cf3ef3d4a9ee7e,0.39800942,0.3996999999999999
61425534baaf234b352906be,1.0887984,1.0877
6143243331cf3ef3d4a9f6ea,0.3997713,0.4049999999999999
6141d6bd31cf3ef3d4a9ef40,0.3703688,0.3516999999999999
61426b2231cf3ef3d4a9f4ee,0.40312204,0.4226
6141d4c031cf3ef3d4a9eef8,0.41117507,0.4088
6144a3094e27a1844a5f0acc,1.1510725,1.1449
614206924e27a1844a5f0548,1.1530617,1.1467999999999998
614230309cbada84a8676cc7,1.8017842,1.8085
6141d1859cbada84a86768d9,1.8024536,1.8095
6141fded4e27a1844a5f04f2,1.1489445,1.1446
614345b34e27a1844a5f0a12,1.1441591,1.1448
6142b88431cf3ef3d4a9f5fe,0.40544868,0.4298
6142c4a5baaf234b35290728,1.0914168,1.0885
6141d338ee0a3fd43fb47b3d,0.348433,0.3595
6141f6439cbada84a8676b99,1.8020812,1.8091
6141d06a31cf3ef3d4a9ee0a,0.42197642,0.4337999999999999
61421536baaf234b352905de,1.1057268,1.1107
6141d7b731cf3ef3d4a9ef5e,0.35358703,0.4044
6141deab4e27a1844a5f02e2,1.1459044,1.1446
61424ebf31cf3ef3d4a9f450,0.35191688,0.3552999999999999
6141d1b6baaf234b35290290,0.66010773,0.6519999999999999
614317784e27a1844a5f09c4,1.1374258,1.1373
6141cf19a05be5973bd77a71,1.1341238,1.1456
61420bf9ee0a3fd43fb47e55,0.3532073,0.3598
6141cf1202d926221cabc545,0.3362123,0.356
